"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Nov 18","109,25","107,99","112,00","105,61","-","2,15%"
"Out 18","106,95","124,11","126,00","100,03","2,59M","-13,82%"
"Set 18","124,10","125,15","134,00","122,55","1,50M","-0,88%"
"Ago 18","125,20","111,70","129,19","110,71","1,49M","12,21%"
"Jul 18","111,58","111,00","115,14","109,10","1,51M","0,52%"
"Jun 18","111,00","107,17","121,00","107,15","2,47M","3,38%"
"Mai 18","107,37","97,70","111,00","97,19","1,01M","10,01%"
"Abr 18","97,60","91,17","98,90","89,28","1,73M","6,48%"
"Mar 18","91,66","92,60","96,01","89,88","1,77M","-1,02%"
"Fev 18","92,60","94,79","96,29","87,80","1,38M","-1,80%"
"Jan 18","94,30","94,00","98,99","91,95","2,09M","0,80%"
"Dez 17","93,55","90,49","95,35","89,18","1,34M","3,37%"
"Nov 17","90,50","89,25","92,50","87,69","755,63K","2,77%"
"Out 17","88,06","83,45","89,24","82,80","1,08M","5,52%"
"Set 17","83,45","81,17","84,00","79,64","900,82K","2,58%"
"Ago 17","81,35","80,60","83,00","79,46","1,60M","0,99%"
"Jul 17","80,55","85,00","88,00","80,11","774,13K","-3,99%"
"Jun 17","83,90","81,52","85,40","81,43","598,20K","3,12%"
"Mai 17","81,36","78,90","84,50","76,70","912,74K","3,12%"
"Abr 17","78,90","77,01","79,95","75,43","603,28K","3,14%"
"Mar 17","76,50","77,00","80,00","75,38","723,02K","0,07%"
"Fev 17","76,45","74,30","77,00","73,20","425,29K","2,81%"
"Jan 17","74,36","76,41","79,00","73,56","845,81K","-2,11%"
"Dez 16","75,96","77,19","81,23","75,50","1,13M","-1,81%"
"Nov 16","77,36","70,30","79,75","68,62","518,53K","10,04%"
"Out 16","70,30","72,20","72,82","68,93","200,47K","-3,26%"
"Set 16","72,67","72,16","75,40","70,48","237,64K","0,17%"
"Ago 16","72,55","72,75","73,62","70,15","269,10K","-0,27%"
"Jul 16","72,75","70,00","75,41","69,60","774,47K","4,71%"
"Jun 16","69,48","77,80","78,06","67,50","189,21K","-11,09%"
"Mai 16","78,15","74,00","79,00","73,32","637,14K","6,95%"
"Abr 16","73,07","77,99","79,50","69,90","3,05M","-4,04%"
"Mar 16","76,15","81,30","81,30","73,51","1,85M","-4,84%"
"Fev 16","80,02","79,25","80,81","73,83","779,02K","0,98%"
"Jan 16","79,24","83,13","83,92","77,01","1,68M","-5,44%"
"Dez 15","83,80","83,44","84,30","78,05","1,07M","0,43%"
"Nov 15","83,44","81,00","83,80","78,00","650,27K","1,26%"
"Out 15","82,40","77,90","85,01","76,90","988,26K","5,64%"
"Set 15","78,00","72,35","82,71","72,00","568,04K","6,70%"
"Ago 15","73,10","74,32","75,80","68,20","524,74K","-0,49%"
"Jul 15","73,46","66,21","73,59","65,57","552,02K","12,15%"
"Jun 15","65,50","68,80","68,80","65,31","505,98K","-4,37%"
"Mai 15","68,49","64,50","68,73","64,15","290,47K","7,17%"
"Abr 15","63,91","66,75","66,75","61,93","1,06M","-4,53%"
"Mar 15","66,94","61,06","70,20","60,35","1,04M","9,65%"
"Fev 15","61,05","55,75","62,00","54,33","623,45K","11,61%"
"Jan 15","54,70","55,39","56,60","52,50","486,19K","-1,25%"
"Dez 14","55,39","54,00","57,33","53,20","498,01K","2,67%"
"Nov 14","53,95","50,95","54,22","50,95","578,84K","7,28%"
"Out 14","50,29","50,90","50,90","45,50","664,13K","3,05%"
"Set 14","48,80","45,50","49,10","45,19","1,30M","7,63%"
"Ago 14","45,34","47,74","47,74","43,92","257,46K","2,03%"
"Jul 14","44,44","44,41","45,13","43,82","101,49K","1,69%"
"Jun 14","43,70","43,83","44,52","43,40","406,42K","-0,16%"
"Mai 14","43,77","42,16","43,83","41,74","339,40K","4,31%"
