"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Nov 18","80,49","81,90","84,40","80,24","-","-1,24%"
"Out 18","81,50","71,84","84,50","70,60","2,30M","12,41%"
"Set 18","72,50","73,51","75,50","69,31","476,19K","-1,76%"
"Ago 18","73,80","77,20","79,64","73,05","351,01K","-4,16%"
"Jul 18","77,00","72,79","79,29","72,50","240,56K","5,19%"
"Jun 18","73,20","79,51","79,51","68,93","456,81K","-3,68%"
"Mai 18","76,00","84,75","85,66","74,02","470,12K","-11,18%"
"Abr 18","85,57","83,75","86,08","80,99","1,22M","2,17%"
"Mar 18","83,75","83,65","86,43","81,90","279,80K","0,12%"
"Fev 18","83,65","84,49","85,67","79,60","560,00K","-0,65%"
"Jan 18","84,20","81,20","85,09","80,05","988,36K","4,01%"
"Dez 17","80,95","75,23","80,95","74,01","691,02K","7,60%"
"Nov 17","75,23","77,91","78,99","73,50","1,21M","-2,80%"
"Out 17","77,40","78,40","82,70","77,15","680,76K","-1,28%"
"Set 17","78,40","76,00","82,75","74,51","261,80K","3,43%"
"Ago 17","75,80","68,72","75,97","68,72","173,94K","8,67%"
"Jul 17","69,75","64,99","69,97","64,73","63,15K","8,26%"
"Jun 17","64,43","64,30","65,24","63,10","265,30K","0,08%"
"Mai 17","64,38","64,90","70,00","59,40","956,78K","-0,80%"
"Abr 17","64,90","62,88","64,96","61,86","74,49K","3,39%"
"Mar 17","62,77","63,81","65,90","60,51","173,74K","-1,61%"
"Fev 17","63,80","60,99","66,49","59,91","114,71K","5,45%"
"Jan 17","60,50","54,50","61,00","53,20","262,45K","11,83%"
"Dez 16","54,10","53,50","54,95","50,61","126,91K","-1,64%"
"Nov 16","55,00","59,40","60,00","52,00","163,19K","-7,56%"
"Out 16","59,50","55,73","59,97","55,73","57,76K","7,05%"
"Set 16","55,58","55,50","57,99","54,78","154,60K","0,14%"
"Ago 16","55,50","55,48","58,40","54,92","295,94K","0,00%"
"Jul 16","55,50","48,01","55,50","48,01","569,80K","14,55%"
"Jun 16","48,45","44,30","48,45","44,27","250,81K","9,47%"
"Mai 16","44,26","45,72","47,84","43,97","305,42K","-5,12%"
"Abr 16","46,65","44,11","47,84","42,50","86,78K","5,42%"
"Mar 16","44,25","40,20","46,99","39,69","284,91K","11,60%"
"Fev 16","39,65","37,76","41,50","35,80","283,42K","5,14%"
"Jan 16","37,71","40,85","40,85","35,27","95,04K","-9,20%"
"Dez 15","41,53","43,90","45,13","40,80","78,65K","-4,68%"
"Nov 15","43,57","45,13","47,47","43,57","18,71K","-2,07%"
"Out 15","44,49","42,50","46,99","41,72","95,02K","5,48%"
"Set 15","42,18","43,35","46,20","41,31","26,42K","-2,99%"
"Ago 15","43,48","47,75","48,10","41,29","30,85K","-8,87%"
"Jul 15","47,71","49,69","50,60","46,48","24,51K","-3,75%"
"Jun 15","49,57","51,70","52,68","49,05","23,15K","-1,35%"
"Mai 15","50,25","51,00","52,97","50,25","47,85K","-2,16%"
"Abr 15","51,36","50,60","53,18","50,53","341,18K","2,88%"
"Mar 15","49,92","50,95","50,95","46,46","65,81K","0,87%"
"Fev 15","49,49","46,80","50,35","46,79","24,94K","5,77%"
"Jan 15","46,79","52,57","52,67","46,70","38,73K","-11,90%"
"Dez 14","53,11","56,91","57,00","49,83","56,19K","-7,28%"
